id,title,company,location,created,description,latitude,longitude,salary_min,salary_max,redirect_url
5320119402,DATA ANALYST,Sadel Group,"West End, West London",2025-07-24T19:09:28Z,"We are seeking a highly motivated and skilled Data Analyst Engineer to join our team at Sadel Group, a Family Office that owns and operates operational real estate, including Magnavale. a leading operator of cold storage facilities for frozen food. We combine rigorous analysis with entrepreneurial energy to support our portfolio companies through operational and strategic transformation. As part of our internal data analysis team, you'll work directly with stakeholders across the group to build…",51.516207,-0.146749,50000,50000,https://www.adzuna.co.uk/jobs/land/ad/5320119402?se=5C-PAO1o8BG7lZ94p4Eq-Q&utm_medium=api&utm_source=71ed0f1d&v=CA22E821E75164A8A4E72342D1E12A9A5B955655
5297811155,Data Analyst,Bernecker's Nursery,"Canning Town, East London",2025-07-11T16:04:33Z,"Description We are seeking a skilled Data Analyst to join our dynamic team. As a Data Analyst, you will play a crucial role in turning raw data into actionable insights that will influence key business decisions. Your analytical expertise will be vital in identifying trends, patterns, and anomalies within our data sets, helping to drive strategic initiatives across the organization. You will work closely with cross-functional teams to understand their data needs and provide them with the tools …",51.508202,0.035485,93600,93600,https://www.adzuna.co.uk/jobs/details/5297811155?utm_medium=api&utm_source=71ed0f1d
5307578659,Pension System Calculation and Data Analyst,Morson Talent,"Blackfriars, Central London",2025-07-17T02:46:22Z,"Pension System Calculation and Data Analyst London City Office Job purpose To support the Pension & Reward Operations Manager with all aspects of the maintenance and development of the Pensions Administration System (altair). To assist in production, management and processing of all data extracts and interfaces and to provide ongoing support to pension projects. Principal accountabilities ? To support the maintenance and development of the pension administration system (altair) ensuring accurac…",51.515704,-0.104021,55000,55000,https://www.adzuna.co.uk/jobs/land/ad/5307578659?se=5C-PAO1o8BG7lZ94p4Eq-Q&utm_medium=api&utm_source=71ed0f1d&v=C6696EC4B249403AD6F163A4A981173E5D46956E
5302241580,Data Analyst,Venn Group,"London, UK",2025-07-14T18:48:25Z,"Interim Data Analyst Based in London, hybrid Length: 6 months initially Rate: £350 - £400 per day via an umbrella company Inside IR35 We are working with a London-based large media company to recruit and interim Data Analyst to deliver high-quality reporting, analysis, and market intelligence while supporting various commercial strategy projects. Key Responsibilities include: Produce and distribute core sales reports, tracking revenue, pipeline, and forecasting metrics Oversee Salesforce usage,…",,,91000,104000,https://www.adzuna.co.uk/jobs/land/ad/5302241580?se=5C-PAO1o8BG7lZ94p4Eq-Q&utm_medium=api&utm_source=71ed0f1d&v=4112291D09B884A3980530BD5CEA04B7DE26FB6B
5313278221,Data Analyst,Norton Blake,"London, UK",2025-07-20T08:20:15Z,"Data Analyst Overview We are seeking a skilled and proactive Data Analyst to manage and enhance data assets within our presentational layer. This role is central to the maintenance and development of our data warehouse and the creation of effective data marts and semantic models that support reporting and business intelligence. Based in either Hoddesdon or Farringdon , this position requires strong technical expertise in data transformation, data modelling, and warehouse development, alongside …",,,43140.54,43140.54,https://www.adzuna.co.uk/jobs/land/ad/5313278221?se=5C-PAO1o8BG7lZ94p4Eq-Q&utm_medium=api&utm_source=71ed0f1d&v=665DDCB7BF81B41B62A803002C8BDAAB89F37BA1
5288371268,Data Analyst,Harnham,"London, UK",2025-07-06T02:45:32Z,"Data Analyst Remote (UK-Based) Up to £40,000  Benefits Fintech | Personal Loans | Full Data Ownership We’re hiring a Data Analyst to join a fast-scaling fintech that’s redefining how personal loans are delivered. Backed by a trusted UK insurance brand, the business has already lent £500M to over 50,000 customers since 2019, and they’re just getting started. This is a remote-first role (UK-based), where you’ll play a key part in building and optimising a modern data ecosystem, from ingestion to …",,,60957.54,60957.54,https://www.adzuna.co.uk/jobs/land/ad/5288371268?se=5C-PAO1o8BG7lZ94p4Eq-Q&utm_medium=api&utm_source=71ed0f1d&v=C239C68A0A93560E09EAB0AF4CEAE7121E7CAA9C
5313276209,Data Analyst,Altasu Recruitment Group,"London, UK",2025-07-20T08:19:19Z,"Data Analyst | Nuclear Energy Innovation  £45,000–£55,000  benefits | Hybrid – London We’re working with a pioneering nuclear energy company that’s transforming how low-carbon power is designed, delivered, and scaled across the UK. As they continue to grow, they’re looking for a skilled and curious Data Analyst to help drive smarter decisions across engineering, operations, and strategy. This isn’t your typical analyst role — it’s a chance to work at the intersection of energy, innovation, and …",,,54843.45,54843.45,https://www.adzuna.co.uk/jobs/land/ad/5313276209?se=5C-PAO1o8BG7lZ94p4Eq-Q&utm_medium=api&utm_source=71ed0f1d&v=0C99900B3FB9EC9BF0042F1D5C5CC20528DAF18B
5303524768,Sr Data Analyst,Bluda Index,"London, UK",2025-07-15T14:52:01Z,"About the job We are currently recruiting for a Data Analyst to join a well-established Investment Manager. This role is suited to someone with strong data handling skills, experience with Python and generative AI, and a background in financial services. Key Responsibilities: Investigate and resolve a range of data issues Analyse large datasets using Excel and Python Support the implementation of system changes and upgrades Collaborate with internal teams including Investment, IT, Risk, and Per…",51.503378,-0.139134,30000,34000,https://www.adzuna.co.uk/jobs/details/5303524768?utm_medium=api&utm_source=71ed0f1d
5313274025,Data Analyst,Marc Daniels Specialist Recruitment,"London, UK",2025-07-20T08:18:38Z,"Data Analyst - Power BI We're looking for a skilled Data Analyst - Power BI to join a thriving technology company in Staines. This role comes with outstanding benefits and flexible hybrid working options. Responsibilities As a Data Analyst - Power BI , your main responsibilities will include: Designing, developing, and maintaining interactive Power BI dashboards and reports to deliver key financial and operational insights. Connecting to various data sources (e.g., SQL databases, Excel, financi…",,,50638.72,50638.72,https://www.adzuna.co.uk/jobs/land/ad/5313274025?se=5C-PAO1o8BG7lZ94p4Eq-Q&utm_medium=api&utm_source=71ed0f1d&v=E61EAF52FC0F141C40566C4DE291B2A806D51718
5313278784,Data Analyst,Marc Daniels Specialist Recruitment,"The City, Central London",2025-07-20T08:20:22Z,"Data Analyst - Power BI We're looking for a skilled Data Analyst - Power BI to join a thriving technology company in Staines. This role comes with outstanding benefits and flexible hybrid working options. Responsibilities As a Data Analyst - Power BI , your main responsibilities will include: Designing, developing, and maintaining interactive Power BI dashboards and reports to deliver key financial and operational insights. Connecting to various data sources (e.g., SQL databases, Excel, financi…",,,51255.58,51255.58,https://www.adzuna.co.uk/jobs/land/ad/5313278784?se=5C-PAO1o8BG7lZ94p4Eq-Q&utm_medium=api&utm_source=71ed0f1d&v=6C8C5E61AEF9348E79C693754825F4AD9F7D3EF8
